x,y,z,P,Sw,Sg
25,25,12.5,200,0.2,0.05
75,25,12.5,199.999,0.2,0.05
125,25,12.5,199.995,0.2,0.0500002
175,25,12.5,199.989,0.2,0.0500005
225,25,12.5,199.943,0.2,0.0500028
275,25,12.5,199.743,0.2,0.0500129
325,25,12.5,199.342,0.2,0.0500329
375,25,12.5,198.924,0.2,0.0500538
425,25,12.5,199.279,0.2,0.0500361
475,25,12.5,199.275,0.2,0.0500363
525,25,12.5,198.809,0.2,0.0500596
575,25,12.5,198.703,0.2,0.0500649
625,25,12.5,198.473,0.2,0.0500764
675,25,12.5,199.29,0.2,0.0500355
725,25,12.5,199.793,0.2,0.0500104
775,25,12.5,199.954,0.2,0.0500023
825,25,12.5,199.991,0.2,0.0500004
875,25,12.5,199.999,0.2,0.0500001
925,25,12.5,200,0.2,0.05
975,25,12.5,200,0.2,0.05
25,75,12.5,200,0.2,0.05
75,75,12.5,199.999,0.2,0.0500001
125,75,12.5,199.991,0.2,0.0500004
175,75,12.5,199.965,0.2,0.0500017
225,75,12.5,199.81,0.2,0.0500095
275,75,12.5,199.314,0.2,0.0500343
325,75,12.5,197.7,0.2,0.0501151
375,75,12.5,194.686,0.2,0.0502664
425,75,12.5,196.782,0.2,0.0501612
475,75,12.5,196.965,0.2,0.050152
525,75,12.5,194.24,0.2,0.0502888
575,75,12.5,194.029,0.2,0.0502994
625,75,12.5,192.499,0.2,0.0503764
675,75,12.5,196.861,0.2,0.0501572
725,75,12.5,199.181,0.2,0.050041
775,75,12.5,199.831,0.2,0.0500084
825,75,12.5,199.97,0.2,0.0500015
875,75,12.5,199.995,0.2,0.0500002
925,75,12.5,199.999,0.2,0.05
975,75,12.5,200,0.2,0.05
25,125,12.5,199.999,0.2,0.05
75,125,12.5,199.994,0.2,0.0500003
125,125,12.5,199.967,0.2,0.0500017
175,125,12.5,199.862,0.2,0.0500069
225,125,12.5,199.303,0.2,0.0500349
275,125,12.5,197.413,0.2,0.0501295
325,125,12.5,189.354,0.2,0.050535
375,125,12.5,173.812,0.2,0.0513262
425,125,12.5,187.986,0.2,0.0506042
475,125,12.5,187.782,0.2,0.0506145
525,125,12.5,173.254,0.2,0.0513549
575,125,12.5,174.66,0.2,0.0512827
625,125,12.5,164.55,0.2,0.0518034
675,125,12.5,188.502,0.2,0.0505781
725,125,12.5,197.184,0.2,0.050141
