Time,CumOil,CumWater,CumGas,AvgPressure,DT
0.001,0.238414,3.06965e-13,0.00121832,200,0.001
0.00170711,0.313612,4.03777e-13,0.00160009,200,0.000707107
0.00257313,0.3858,4.96705e-13,0.00196433,199.999,0.000866025
0.00379788,0.48081,6.18998e-13,0.00243993,199.999,0.00122474
0.00552993,0.612788,7.88849e-13,0.00309341,199.999,0.00173205
0.00797942,0.798245,1.02748e-12,0.00399812,199.998,0.00244949
0.0116537,1.0753,1.38385e-12,0.00532088,199.997,0.00367423
0.017165,1.4897,1.91667e-12,0.00723952,199.996,0.00551135
0.025432,2.11025,2.71407e-12,0.0099906,199.994,0.00826703
0.0378326,3.04025,3.90815e-12,0.0138723,199.99,0.0124005
0.0564334,4.43463,5.6966e-12,0.019232,199.985,0.0186008
0.0843346,6.52541,8.37463e-12,0.0264272,199.978,0.0279012
0.126186,9.65974,1.23826e-11,0.035753,199.967,0.0418518
0.188964,14.3563,1.83764e-11,0.0473389,199.951,0.0627777
0.283131,21.3879,2.73301e-11,0.0610466,199.926,0.0941666
0.424381,31.9025,4.06858e-11,0.0763163,199.89,0.14125
0.624138,46.7023,5.94397e-11,0.0916941,199.838,0.199758
0.906638,67.4877,8.57192e-11,0.106581,199.766,0.2825
1.30615,96.5904,1.22441e-10,0.120528,199.666,0.399515
1.87115,137.17,1.73557e-10,0.133356,199.525,0.565
2.67018,193.435,2.44337e-10,0.145291,199.331,0.79903
3.80018,270.867,3.41654e-10,0.15725,199.064,1.13
5.39824,376.387,4.74224e-10,0.171593,198.702,1.59806
7.65824,518.4,6.52697e-10,0.194135,198.216,2.26
10.8544,706.626,8.8949e-10,0.238315,197.575,3.19612
15.3744,951.746,1.19834e-09,0.330691,196.743,4.52
21.7666,1265.01,1.59377e-09,0.514961,195.684,6.39224
30.8066,1658.21,2.09106e-09,0.853358,194.357,9.03999
40.7094,2044.29,2.58009e-09,1.28527,193.056,9.90282
43.0015,2131.43,2.6905e-09,1.38795,192.763,2.29206
46.2429,2250.65,2.84161e-09,1.53773,192.362,3.24146
50.2129,2391.25,3.01992e-09,1.72681,191.889,3.96996
55.0751,2556.33,3.22937e-09,1.96502,191.334,4.86219
59.9373,2715.1,3.4309e-09,2.20834,190.8,4.86219
64.4388,2857.24,3.61138e-09,2.43704,190.322,4.50151
68.9403,2994.99,3.78634e-09,2.66845,189.858,4.50151
75.6926,3192.98,4.03792e-09,3.01989,189.193,6.75227
83.9624,3424.33,4.33202e-09,3.45442,188.415,8.2698
93.9624,3690.2,4.67013e-09,3.98298,187.52,10
100,3846.11,4.86846e-09,4.30251,186.996,6.03764
