row,col,val
0,0,4.13154e-05
1,0,0.167223
2,0,1.14243
4,0,-0.005005
208,0,-0.005005
3646,0,-0.002002
0,1,20674.3
1,1,-20694.9
3,1,-5.91092e-12
4,1,1.42004e-06
208,1,2.32763e-07
1,2,-20694.9
2,2,22848.6
4,2,1.54913e-06
5,2,-3.8911e-11
208,2,2.53923e-07
209,2,-6.37803e-12
1,3,-0.005005
3,3,4.18893e-05
4,3,0.173896
5,3,1.14243
7,3,-0.00166833
13,3,-0.00166833
19,3,-0.00166833
25,3,-0.00166833
211,3,-0.005005
3649,3,-0.002002
3,4,20674.3
4,4,-20694.9
6,4,-6.48883e-12
7,4,1.55887e-06
12,4,-2.20408e-11
13,4,5.29507e-06
18,4,-6.67418e-12
19,4,1.6034e-06
24,4,-2.28496e-11
25,4,5.48937e-06
210,4,-7.53276e-12
211,4,1.80967e-06
4,5,-20694.9
5,5,22848.6
7,5,1.70059e-06
8,5,-4.30785e-11
13,5,5.77644e-06
14,5,-1.46326e-10
19,5,1.74917e-06
20,5,-4.43091e-11
25,5,5.9884e-06
26,5,-1.51695e-10
211,5,1.97418e-06
212,5,-5.0009e-11
4,6,-0.00166833
6,6,5.16443e-06
7,6,0.027076
8,6,0.142804
10,6,-0.0025025
13,6,-0.0025025
19,6,-0.001001
6,7,2584.28
7,7,-2586.87
9,7,-1.10237e-11
10,7,2.64832e-06
12,7,-2.33279e-11
13,7,5.60429e-06
19,7,2.67168e-08
7,8,-2586.87
8,8,2856.07
10,8,2.88907e-06
11,8,-7.52167e-11
13,8,6.11377e-06
14,8,-1.59171e-10
19,8,2.91456e-08
7,9,-0.0025025
9,9,5.16443e-06
10,9,0.0279101
11,9,0.142804
16,9,-0.0025025
22,9,-0.001001
31,9,-0.0025025
9,10,2584.28
10,10,-2586.87
15,10,-1.86183e-11
16,10,4.47285e-06
22,10,2.26279e-07
30,10,-4.21905e-11
31,10,1.01358e-05
10,11,-2586.87
11,11,2856.07
16,11,4.87947e-06
17,11,-1.30924e-10
22,11,2.4685e-07
23,11,-6.62335e-12
31,11,1.10572e-05
32,11,-2.96683e-10
4,12,-0.00166833
7,12,-0.0025025
12,12,5.16443e-06
13,12,0.0347597
14,12,0.142804
16,12,-0.0025025
25,12,-0.001001
214,12,-0.0025025
9325,12,-0.00518124
12,13,2584.28
13,13,-2586.87
