leaf_id,parent_id,x,y,z,P,Sw,Sg
0,0,25,25,25,200,0.2,0.05
1,1,75,25,25,200,0.2,0.05
2,2,112.5,12.5,12.5,200,0.2,0.05
3,2,137.5,12.5,12.5,200,0.2,0.05
4,2,112.5,37.5,12.5,200,0.2,0.05
5,2,137.5,37.5,12.5,200,0.2,0.05
6,2,112.5,12.5,37.5,200,0.2,0.05
7,2,137.5,12.5,37.5,200,0.2,0.05
8,2,112.5,37.5,37.5,200,0.2,0.05
9,2,137.5,37.5,37.5,200,0.2,0.05
10,3,162.5,12.5,12.5,200,0.2,0.05
11,3,187.5,12.5,12.5,200,0.2,0.05
12,3,162.5,37.5,12.5,200,0.2,0.05
13,3,187.5,37.5,12.5,200,0.2,0.05
14,3,162.5,12.5,37.5,200,0.2,0.05
15,3,187.5,12.5,37.5,200,0.2,0.05
16,3,162.5,37.5,37.5,200,0.2,0.05
17,3,187.5,37.5,37.5,200,0.2,0.05
18,4,225,25,25,200,0.2,0.05
19,5,262.5,12.5,12.5,200,0.2,0.05
20,5,287.5,12.5,12.5,200,0.2,0.05
21,5,262.5,37.5,12.5,200,0.2,0.05
22,5,287.5,37.5,12.5,200,0.2,0.05
23,5,262.5,12.5,37.5,200,0.2,0.05
24,5,287.5,12.5,37.5,200,0.2,0.05
25,5,262.5,37.5,37.5,200,0.2,0.05
26,5,287.5,37.5,37.5,200,0.2,0.05
27,6,312.5,12.5,12.5,200,0.2,0.05
28,6,337.5,12.5,12.5,200,0.2,0.05
29,6,312.5,37.5,12.5,200,0.2,0.05
30,6,337.5,37.5,12.5,200,0.2,0.05
31,6,312.5,12.5,37.5,200,0.2,0.05
32,6,337.5,12.5,37.5,200,0.2,0.05
33,6,312.5,37.5,37.5,200,0.2,0.05
34,6,337.5,37.5,37.5,200,0.2,0.05
35,7,362.5,12.5,12.5,200,0.2,0.05
36,7,387.5,12.5,12.5,200,0.2,0.05
37,7,362.5,37.5,12.5,200,0.2,0.05
38,7,387.5,37.5,12.5,200,0.2,0.05
39,7,362.5,12.5,37.5,200,0.2,0.05
40,7,387.5,12.5,37.5,200,0.2,0.05
41,7,362.5,37.5,37.5,200,0.2,0.05
42,7,387.5,37.5,37.5,200,0.2,0.05
43,8,425,25,25,200,0.2,0.05
44,9,475,25,25,200,0.2,0.05
45,10,525,25,25,200,0.2,0.05
46,11,575,25,25,200,0.2,0.05
47,12,625,25,25,200,0.2,0.05
48,13,675,25,25,200,0.2,0.05
49,14,725,25,25,200,0.2,0.05
50,15,775,25,25,200,0.2,0.05
51,16,825,25,25,200,0.2,0.05
52,17,875,25,25,200,0.2,0.05
53,18,925,25,25,200,0.2,0.05
54,19,975,25,25,200,0.2,0.05
55,20,25,75,25,200,0.2,0.05
56,21,75,75,25,200,0.2,0.05
57,22,112.5,62.5,12.5,200,0.2,0.05
58,22,137.5,62.5,12.5,200,0.2,0.05
59,22,112.5,87.5,12.5,200,0.2,0.05
