id,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,771.666,71.4504,45.0321,828.581,89.9383,45.0321,821.42,111.984,32.937,764.505,93.4965,32.937
1,352.984,84.5032,32.5579,320.773,90.7997,32.5579,314.433,58.3636,32.5309,346.644,52.0671,32.5309
2,493.744,431.493,38.2795,442.083,440.978,38.2795,439.782,428.447,29.7512,491.443,418.962,29.7512
3,152.909,166.506,16.289,206.724,207.694,16.289,193.82,224.555,1.93456,140.005,183.366,1.93456
4,61.1925,414.114,28.8868,28.6084,451.718,28.8868,1.43406,428.171,16.0886,34.0182,390.567,16.0886
5,943.3,293.786,17.9037,988.059,295.987,17.9037,987.211,313.248,9.69622,942.451,311.047,9.69622
6,668.095,309.813,41.9152,683.821,350.624,41.9152,669.587,356.109,17.2145,653.862,315.298,17.2145
7,868.339,348.868,12.7268,842.034,382.635,12.7268,829.489,372.861,10.8717,855.794,339.095,10.8717
8,466.588,87.1807,46.9023,435.599,131.121,46.9023,412.085,114.539,42.6741,443.074,70.598,42.6741
9,350.952,32.2345,17.8208,317.236,99.6107,17.8208,297.738,89.8534,17.809,331.454,22.4773,17.809
10,379.4,136.467,12.008,347.169,183.121,12.008,325.738,168.315,4.45758,357.968,121.661,4.45758
11,218.224,66.4277,14.2355,274.93,78.1509,14.2355,270.027,101.863,7.64089,213.321,90.1402,7.64089
12,991.322,164.645,47.0701,989.522,234.54,47.0701,975.524,234.179,34.5731,977.325,164.285,34.5731
13,858.941,125.812,12.7835,888.948,184.099,12.7835,857.777,200.147,9.24056,827.77,141.86,9.24056
14,976.237,182.702,29.351,927.821,235.838,29.351,904.81,214.87,22.4242,953.226,161.734,22.4242
15,561.478,329.54,16.7625,559.454,368.234,16.7625,521.418,366.245,6.09251,523.442,327.55,6.09251
16,885.576,432.782,33.5157,812.703,447.722,33.5157,807.746,423.542,6.93516,880.619,408.603,6.93516
17,659.346,248.651,24.7977,707.698,308.586,24.7977,678.63,332.036,12.4305,630.279,272.101,12.4305
18,378.32,349.703,44.875,377.062,395.089,44.875,354.618,394.467,27.219,355.875,349.082,27.219
19,314.883,239.267,30.2911,360.176,304.013,30.2911,346.617,313.498,26.9381,301.324,248.752,26.9381
20,296.67,254.787,19.9643,248.133,265.634,19.9643,240.28,230.493,17.3044,288.817,219.646,17.3044
21,203.608,313.718,26.6197,226.203,349.96,26.6197,214.229,357.425,9.24502,191.635,321.183,9.24502
22,128.453,331.216,35.2574,159.525,363.524,35.2574,144.79,377.695,20.0246,113.718,345.387,20.0246
23,975.029,398.228,47.2784,999.664,432.876,47.2784,988.652,440.705,38.762,964.018,406.057,38.762
24,367.224,406.683,16.2487,298.404,443.949,16.2487,286.078,421.186,10.9055,354.898,383.92,10.9055
25,438.102,347.681,7.76113,415.231,376.303,7.76113,384.606,351.831,6.07417,407.476,323.209,6.07417
26,380.453,202.863,41.4536,421.63,213.556,41.4536,417.189,230.658,32.9506,376.012,219.965,32.9506
27,666.561,11.6621,47.7586,716.429,26.8104,47.7586,710.438,46.5315,43.7627,660.571,31.3832,43.7627
28,965.098,304.115,26.4814,923.525,351.259,26.4814,904.13,334.155,25.1882,945.703,287.012,25.1882
29,545.901,64.6231,8.77856,590.949,78.3514,8.77856,586.174,94.0233,3.23791,541.125,80.295,3.23791
30,533.04,276.084,49.4123,473.177,286.676,49.4123,469.04,263.294,18.984,528.902,252.701,18.984
31,664.051,389.008,40.7558,615.403,421.801,40.7558,608.756,411.941,26.961,657.404,379.148,26.961
32,616.479,389.747,36.7787,647.989,414.925,36.7787,635.401,430.68,28.3697,603.89,405.502,28.3697
33,65.6324,288.94,21.1288,31.7216,341.781,21.1288,12.2939,329.313,12.5266,46.2047,276.473,12.5266
34,239.302,227.842,42.7855,286.36,233.664,42.7855,282.087,268.196,26.5035,235.029,262.373,26.5035
35,997.89,261.864,23.1332,959.026,305.489,23.1332,937.271,286.108,19.2139,976.135,242.483,19.2139
36,231.857,159.501,28.0092,264.413,203.618,28.0092,244.615,218.227,25.4235,212.059,174.111,25.4235
37,436.7,74.4025,22.0893,433.578,148.932,22.0893,415.483,148.174,17.5758,418.605,73.6445,17.5758
38,699.802,207.892,23.5612,732.974,264.086,23.5612,716.561,273.775,14.2375,683.388,217.581,14.2375
39,288.568,195.208,40.5846,231.644,230.637,40.5846,218.796,209.994,16.5627,275.72,174.565,16.5627
40,691.068,92.5992,23.7772,686.271,146.271,23.7772,671.011,144.907,16.245,675.808,91.2355,16.245
41,825.611,488.008,34.4001,780.763,498.828,34.4001,778.608,489.892,21.2004,823.455,479.072,21.2004
42,662.894,167.702,44.6776,737.408,181.399,44.6776,730.956,216.5,29.0325,656.442,202.803,29.0325
43,91.1728,138.336,11.88,138.015,179.475,11.88,122.339,197.324,5.08801,75.4973,156.185,5.08801
44,364.527,112.334,29.1518,373.233,142.727,29.1518,356.163,147.616,16.1723,347.458,117.223,16.1723
45,104.512,434.512,33.6734,75.2312,459.109,33.6734,60.9844,442.15,21.4854,90.2657,417.552,21.4854
46,896.718,260.588,38.9105,946.023,307.206,38.9105,929.613,324.561,33.7016,880.309,277.944,33.7016
47,217.279,115.822,15.0711,290.39,126.672,15.0711,285.605,158.91,5.65165,212.495,148.06,5.65165
48,115.725,386.805,37.4149,73.6155,420.613,37.4149,61.0911,405.013,21.5807,103.201,371.205,21.5807
49,832.968,420.903,39.1516,800.077,492.756,39.1516,777.121,482.248,22.5748,810.012,410.395,22.5748
50,88.3981,332.488,37.214,119.556,374.8,37.214,93.606,393.909,17.5307,62.4487,351.597,17.5307
51,665.898,374.065,23.7888,736.447,388.961,23.7888,729.385,422.407,22.1459,658.836,407.511,22.1459
52,634.608,145.635,15.9106,627.719,204.214,15.9106,607.003,201.778,5.00246,613.892,143.199,5.00246
53,588.92,178.689,47.7336,599.606,216.2,47.7336,580.612,221.611,22.0331,569.926,184.1,22.0331
54,16.7489,248.797,33.0499,60.6915,267.608,33.0499,46.8604,299.918,20.3925,2.91784,281.107,20.3925
55,299.296,19.607,29.4056,356.013,50.0896,29.4056,343.87,72.6836,18.7089,287.153,42.201,18.7089
56,210.266,357.868,27.7137,269.307,387.424,27.7137,261.967,402.088,25.4129,202.926,372.531,25.4129
57,695.239,400.663,44.8906,709.184,428.935,44.8906,679.092,443.777,30.071,665.147,415.506,30.071
58,244.439,146.816,32.6638,247.5,194.473,32.6638,221.994,196.111,14.7332,218.933,148.454,14.7332
59,728.871,249.957,39.2222,757.328,300.752,39.2222,744.774,307.785,19.4314,716.317,256.991,19.4314
60,584.744,102.991,29.3943,631.249,104.092,29.3943,630.366,141.362,20.4305,583.862,140.261,20.4305
61,549.399,362.731,42.9448,515.815,370.015,42.9448,510.281,344.5,33.8332,543.865,337.215,33.8332
62,577.155,158.887,32.1495,623.433,192.895,32.1495,610.611,210.344,13.2773,564.333,176.335,13.2773
63,132.435,443.36,41.3808,82.03,444.796,41.3808,80.9631,407.368,33.2167,131.369,405.931,33.2167
