Time,CumOil,CumWater,CumGas,AvgPressure,DT,nLeaf,nSeg,Qo,Qw,Qg
1e-05,0.260104,3.34376e-13,0.00134643,200,1e-05,2115,957,26010.4,3.34376e-08,134.643
1.92582e-05,0.348051,4.47552e-13,0.00179933,200,9.2582e-06,2115,957,9499.35,1.22245e-08,48.9192
3.15056e-05,0.439637,5.65419e-13,0.0022684,200,1.22474e-05,2115,957,7477.98,9.62378e-09,38.2993
4.88262e-05,0.542524,6.97834e-13,0.0027926,200,1.73205e-05,2115,957,5940.21,7.64496e-09,30.2649
7.33211e-05,0.659401,8.48254e-13,0.00338511,200,2.44949e-05,2115,957,4771.48,6.14087e-09,24.1893
0.000107962,0.793595,1.02096e-12,0.00406217,200,3.4641e-05,2115,957,3873.83,4.98555e-09,19.5449
0.000156952,0.948422,1.22021e-12,0.00483978,200,4.89898e-05,2115,957,3160.39,4.06729e-09,15.873
0.000226234,1.12565,1.4483e-12,0.00572621,200,6.9282e-05,2115,957,2558.1,3.2921e-09,12.7944
0.000324213,1.32293,1.70218e-12,0.00670942,200,9.79796e-05,2115,957,2013.5,2.5912e-09,10.0349
0.000462778,1.53116,1.97015e-12,0.00774447,200,0.000138564,2115,957,1502.73,1.93388e-09,7.46982
0.000658737,1.73396,2.23114e-12,0.00875109,200,0.000195959,2115,957,1034.94,1.33189e-09,5.13686
0.000935865,1.91136,2.45944e-12,0.00963113,200,0.000277128,2115,957,640.114,8.23795e-10,3.17557
0.00132778,2.04709,2.63413e-12,0.0103046,200,0.000391918,2115,957,346.338,4.45729e-10,1.71828
0.00188204,2.13602,2.74857e-12,0.0107458,200,0.000554256,2115,957,160.438,2.06484e-10,0.796164
0.00266588,2.18589,2.81277e-12,0.0109934,200,0.000783837,2115,957,63.6313,8.1894e-11,0.315819
0.00377439,2.21184,2.84616e-12,0.0111222,200,0.00110851,2115,957,23.4048,3.01222e-11,0.116173
0.00534206,2.22818,2.86719e-12,0.0112033,200,0.00156767,2115,957,10.4268,1.34194e-11,0.051756
0.00769357,2.24516,2.88904e-12,0.0112876,200,0.00235151,2115,957,7.21811,9.28981e-12,0.0358288
0.0112208,2.26864,2.91926e-12,0.0114041,200,0.00352727,2115,957,6.65667,8.56724e-12,0.0330415
0.0165117,2.30348,2.96411e-12,0.0115771,200,0.0052909,2115,957,6.58636,8.47674e-12,0.0326916
0.0244481,2.35568,3.03129e-12,0.0118361,200,0.00793635,2115,957,6.57699,8.46467e-12,0.0326438
0.0363526,2.43391,3.13197e-12,0.0122244,199.999,0.0119045,2115,957,6.57126,8.4573e-12,0.0326134
0.0542094,2.55111,3.28281e-12,0.012806,199.999,0.0178568,2115,957,6.56361,8.44744e-12,0.0325721
0.0809946,2.72664,3.50871e-12,0.0136769,199.999,0.0267852,2115,957,6.55312,8.43391e-12,0.0325147
0.121172,2.98937,3.84685e-12,0.0149802,199.998,0.0401778,2115,957,6.53925,8.41604e-12,0.0324369
0.181439,3.38243,4.35271e-12,0.0169289,199.997,0.0602666,2115,957,6.52191,8.39365e-12,0.0323352
0.271839,3.97018,5.10913e-12,0.0198404,199.996,0.0903999,2115,957,6.50168,8.36752e-12,0.0322072
0.407439,4.84887,6.23996e-12,0.0241864,199.993,0.1356,2115,957,6.48002,8.33946e-12,0.0320498
0.610839,6.16258,7.93058e-12,0.0306653,199.99,0.2034,2115,957,6.45878,8.31178e-12,0.0318531
0.915939,8.12713,1.04586e-11,0.040303,199.985,0.3051,2115,957,6.43904,8.28576e-12,0.0315886
1.37359,11.0652,1.42388e-11,0.0545795,199.977,0.45765,2115,957,6.41996,8.26009e-12,0.0311953
2.06006,15.4576,1.98889e-11,0.0755669,199.966,0.686475,2115,957,6.39851,8.23056e-12,0.0305727
3.08977,22.0172,2.83233e-11,0.106034,199.948,1.02971,2115,957,6.37029,8.19103e-12,0.0295882
4.63434,31.7946,4.08874e-11,0.149438,199.923,1.54457,2115,957,6.33015,8.1344e-12,0.0281011
6.95119,46.3261,5.95439e-11,0.209674,199.884,2.31685,2115,957,6.27213,8.05251e-12,0.0259989
10.4265,67.8346,8.71229e-11,0.29044,199.828,3.47528,2115,957,6.18899,7.93579e-12,0.0232403
15.4265,98.2182,1.26021e-10,0.390519,199.748,5,2115,957,6.07671,7.77956e-12,0.0200157
20.4265,128.075,1.64192e-10,0.477597,199.67,5,2115,957,5.9714,7.63424e-12,0.0174155
25.4265,157.438,2.01686e-10,0.554096,199.594,5,2115,957,5.87253,7.49882e-12,0.0152998
30.4265,186.336,2.38548e-10,0.621905,199.518,5,2115,957,5.77967,7.37243e-12,0.0135617
35.4265,214.798,2.7482e-10,0.682507,199.445,5,2115,957,5.69238,7.25431e-12,0.0121205
40.4265,242.849,3.10538e-10,0.73708,199.372,5,2115,957,5.61027,7.14376e-12,0.0109147
45.4265,270.514,3.45739e-10,0.786569,199.3,5,2115,957,5.53297,7.04014e-12,0.00989766
50.4265,297.815,3.80454e-10,0.831735,199.23,5,2115,957,5.46015,6.9429e-12,0.00903329
55.4265,324.772,4.14711e-10,0.873203,199.16,5,2115,957,5.39148,6.85152e-12,0.00829357
60.4265,351.406,4.48539e-10,0.911486,199.091,5,2115,957,5.32666,6.76554e-12,0.00765651
65.4265,377.733,4.81962e-10,0.947009,199.024,5,2115,957,5.26543,6.68455e-12,0.00710468
70.4265,403.77,5.15003e-10,0.98013,198.957,5,2115,957,5.20753,6.60817e-12,0.00662416
75.4265,429.534,5.47683e-10,1.01115,198.89,5,2115,957,5.15273,6.53605e-12,0.00620372
80.4265,455.038,5.80022e-10,1.04032,198.825,5,2115,957,5.10082,6.46788e-12,0.00583424
85.4265,480.296,6.12039e-10,1.06786,198.76,5,2115,957,5.05159,6.40337e-12,0.00550827
90.4265,505.321,6.4375e-10,1.09396,198.696,5,2115,957,5.00486,6.34226e-12,0.00521963
95.4265,530.123,6.75172e-10,1.11878,198.632,5,2115,957,4.96047,6.2843e-12,0.00496321
100,552.632,7.03682e-10,1.14051,198.575,4.57353,2115,957,4.9217,6.23377e-12,0.00475252
