seg_id,frac_id,leaf_id,parent_id,area,cx,cy,cz,Tmf
0,0,1203,235,67.0571,770.208,92.2475,73.4608,0.000536457
1,0,1204,235,131.056,786.905,97.2863,73.6518,0.00104845
2,0,1205,235,13.6201,773.045,73.4959,83.2237,0.00010896
3,0,1206,235,10.5634,777.531,74.1778,83.6086,8.45074e-05
4,0,1207,235,109.408,771.71,82.147,78.7154,0.000875265
5,0,1208,235,501.78,786.519,84.036,80.1651,0.00401424
6,0,1211,236,2.40403,801.208,99.6078,74.8053,1.92322e-05
7,0,1215,236,428.623,810.725,93.6505,79.2959,0.00342899
8,0,1216,236,24.4458,825.973,94.6783,81.244,0.000195566
9,0,1292,255,43.8662,794.842,101.676,72.7531,0.00035093
10,0,1299,256,153.845,809.657,104.677,73.6518,0.00123076
11,0,1303,256,77.792,819.216,101.834,76.6036,0.000622336
12,0,1304,256,0.169862,825.104,100.321,78.3036,1.35889e-06
13,1,1164,226,159.661,320.529,66.1654,65.0826,0.00127729
14,1,1165,226,498.725,339.329,65.5203,65.085,0.0039898
15,1,1166,226,89.4315,322.115,82.6933,65.096,0.000715452
16,1,1167,226,313.251,337.5,81.265,65.0973,0.002506
17,1,1172,227,3.24693,350.376,73.0788,65.0928,2.59754e-05
18,1,1174,227,20.4043,351.028,79.8974,65.0983,0.000163234
19,2,1974,368,141.348,445.466,433.88,68.0308,0.00113079
20,2,1979,369,29.8684,469.519,423.994,64.4291,0.000238947
21,2,1980,369,93.6327,483.499,422.736,65.2908,0.000749062
22,2,1981,369,359.829,461.711,430.206,67.5754,0.00287863
23,2,1982,369,180.615,484.074,429.107,69.555,0.00144492
24,3,273,62,10.1724,148.803,173.436,19.9929,8.13791e-05
25,3,275,62,114.751,146.603,181.096,14.9767,0.00091801
26,3,280,63,70.3246,153.895,171.821,22.9524,0.000562597
27,3,282,63,624.623,162.462,187.529,18.0389,0.00499699
28,3,283,63,197.852,181.899,194.72,22.1653,0.00158282
29,3,284,63,9.72485,158.124,170.871,25.2004,7.77988e-05
30,3,286,63,10.3469,169.26,179.393,25.2004,8.27752e-05
31,3,287,63,19.0917,185.592,191.893,25.2004,0.000152734
32,3,398,83,81.2466,170.579,203.383,12.8629,0.000649973
33,3,399,83,538.705,189.919,209.08,17.7516,0.00430964
34,3,403,83,3.43983,198.092,201.461,25.2004,2.75187e-05
35,3,406,84,50.6438,202.121,209.313,22.6403,0.00040515
36,3,410,84,5.89788,203.272,205.426,25.2004,4.7183e-05
37,4,777,140,95.4222,34.9224,396.856,40.2853,0.000763377
38,4,913,160,265.45,18.0606,416.992,40.443,0.0021236
39,4,914,160,644.158,38.1998,410.932,44.4479,0.00515326
40,4,915,160,330.096,13.904,431.691,42.751,0.00264076
41,4,916,160,286.568,30.5848,436.945,48.4629,0.00229254
42,4,921,161,73.4133,52.758,412.378,48.7011,0.000587306
43,4,1915,360,6.87568,48.8832,423.711,50.3004,5.50054e-05
44,4,1917,360,132.996,38.177,437.703,50.6819,0.00106397
45,4,1922,361,59.0297,54.2452,419.366,50.7301,0.000472237
46,4,1924,361,1.89594,50.5865,425.677,51.2168,1.51675e-05
47,4,2054,380,3.16446,28.4437,450.573,51.0633,2.53156e-05
48,5,622,118,45.9177,946.574,296.976,30.2672,0.000367342
49,5,629,119,145.843,962.5,297.365,30.4538,0.00116675
50,5,630,119,62.2212,981.48,297.833,30.6746,0.00049777
51,5,755,138,26.2208,946.264,309.65,24.2481,0.000209766
52,5,759,138,64.3297,946.4,304.033,26.9154,0.000514638
53,5,762,139,87.7412,962.5,310.448,24.2481,0.00070193
54,5,763,139,43.1285,981.144,311.364,24.2481,0.000345028
55,5,766,139,245.285,962.5,304.431,27.102,0.00196228
56,5,767,139,136.673,981.307,304.891,27.3227,0.00109339
57,6,1784,337,187.001,895.944,314.484,92.1497,0.00149601
58,6,1786,337,41.8496,894.151,326.638,87.1827,0.000334797
59,6,1791,338,443.919,912.5,316.783,93.2512,0.00355135
60,6,1792,338,235.224,937.5,320.646,94.7611,0.00188179
61,6,1793,338,242.597,912.5,329.491,88.2842,0.00194078
62,6,1794,338,451.292,937.5,333.354,89.7941,0.00361034
63,6,1799,339,40.7926,957.233,323.699,95.9512,0.000326341
64,6,1801,339,259.504,955.44,335.853,90.9842,0.00207603
65,7,725,133,40.8065,656.728,319.97,48.3897,0.000326452
66,7,727,133,101.412,663.482,337.5,48.3897,0.000811294
67,7,864,153,23.3308,669.407,352.876,48.3897,0.000186647
68,7,1754,333,346.36,664.373,318.599,60.7401,0.00277088
69,7,1756,333,494.566,670.609,335.546,60.2951,0.00395653
70,7,1757,333,181.817,677.86,342.577,67.1584,0.00145453
71,7,1886,353,42.5435,672.702,352.354,53.6719,0.000340348
72,7,1887,353,38.8707,679.35,351.162,64.412,0.000310965
73,8,741,136,4.71709,849.099,348.844,22.7538,3.77367e-05
74,8,748,137,117.434,858.318,346.899,23.4627,0.000939471
75,8,885,156,305.718,842.834,365.878,23.3984,0.00244574
76,8,887,156,60.5228,840.75,377.545,24.043,0.000484182
77,8,892,157,196.927,855.819,357.47,23.9905,0.00157542
78,9,1185,228,20.7922,444.12,73.5327,87.8364,0.000166338
79,9,1186,228,5.07594,424.113,98.742,87.5688,4.06075e-05
80,9,1187,228,470.967,439.881,86.9514,88.4638,0.00376774
81,9,1194,229,254.419,456.034,90.6658,90.7182,0.00203535
82,9,1260,248,173.885,421.106,109.546,88.1227,0.00139108
83,9,1261,248,557.531,436.139,114.058,90.3102,0.00446025
84,9,1263,248,40.2045,434.145,127.04,91.1702,0.000321636
85,9,1268,249,40.8145,452.516,103.567,91.3884,0.000326516
86,10,465,92,301.975,619.849,243.436,16.8998,0.0024158
87,10,466,92,35.4504,626.496,241.475,22.5896,0.000283604
88,10,469,92,5.99098,624.249,248.929,25.8111,4.79279e-05
89,10,470,92,83.2175,628.587,246.146,28.3855,0.00066574
90,10,581,111,122.902,596.597,270.151,12.0386,0.000983212
91,10,582,111,0.0404062,574.949,296.255,8.44641,3.23249e-07
92,10,583,111,581.474,586.797,289.269,15.9435,0.00465179
93,10,587,111,142.294,595.506,293.597,28.6236,0.00113835
94,10,588,112,514.715,607.057,262.091,17.2232,0.00411772
95,10,590,112,31.8948,601.734,277.47,23.1286,0.000255158
96,10,592,112,254.335,617.972,261.271,28.3855,0.00203468
97,10,593,112,23.4503,626.487,252.118,30.6425,0.000187603
98,10,594,112,135.491,604.279,281.097,28.6236,0.00108392
99,10,706,131,22.0203,584.321,301.179,22.2931,0.000176162
100,10,710,131,56.8422,589.218,302.558,28.6236,0.000454737
101,11,220,52,57.0557,617.867,123.653,10.5494,0.000456446
102,11,222,52,406.219,621.004,135.295,10.5648,0.00324975
103,11,223,52,123.421,627.105,142.159,16.0217,0.00098737
104,11,352,72,128.142,622.855,157.99,5.12825,0.00102514
105,11,353,72,366.05,628.744,164.125,10.5648,0.0029284
106,12,32,6,7.95117,332.714,24.1591,35.6249,6.36094e-05
107,12,33,6,53.5205,322.56,45.1249,35.625,0.000428164
108,12,34,6,489.479,336.964,35.8957,35.6298,0.00391583
109,12,41,7,1.13291,350.317,32.71,35.6355,9.06328e-06
110,12,88,25,6.39377,299.246,88.7239,35.6243,5.11501e-05
111,12,93,26,339.351,318.213,62.5,35.6272,0.00271481
112,12,94,26,270.172,330.403,62.5,35.6331,0.00216137
113,12,95,26,453.992,312.068,85.0041,35.6296,0.00363193
114,12,96,26,20.7,326.517,78.0319,35.635,0.0001656
115,13,189,46,101.566,346.13,144.398,13.6133,0.000812525
116,13,194,47,12.4127,358.811,123.887,13.258,9.93015e-05
117,13,196,47,554.602,362.645,137.065,16.3436,0.00443681
118,13,197,47,21.5507,376.467,137.576,19.7241,0.000172405
119,13,305,66,477.211,339.909,163.663,15.3035,0.00381769
120,13,307,66,67.5854,345.646,178.036,19.0398,0.000540684
121,13,312,67,297.119,355.707,162.5,18.8797,0.00237695
122,13,314,67,5.82091,350.926,176.341,20.0199,4.65673e-05
123,14,73,24,58.5395,221.136,71.3831,24.0127,0.000468316
124,14,74,24,101.979,237.5,73.0321,24.4751,0.000815829
125,14,75,24,173.31,219.943,83.1737,20.8022,0.00138648
126,14,76,24,521.808,237.5,85.0694,21.2647,0.00417446
127,14,77,24,4.61864,221.58,67.4472,25.0869,3.69491e-05
128,14,78,24,16.8787,237.5,70.7385,25.0869,0.00013503
129,14,81,25,4.57899,252.179,74.5495,24.8798,3.66319e-05
130,14,83,25,545.605,260.461,87.7498,21.8158,0.00436484
131,14,85,25,5.47758,254.057,74.1614,25.0869,4.38207e-05
132,14,87,25,11.31,266.489,76.7316,25.0869,9.04804e-05
133,14,178,45,9.07554,267.151,100.621,18.7518,7.26043e-05
134,15,1685,324,425.042,239.45,344.42,66.2736,0.00340034
135,15,1689,324,253.639,244.545,336.061,81.6367,0.00202911
136,15,1692,325,2.85823,250.546,349.394,74.3355,2.28659e-05
137,15,1696,325,164.78,253.544,346.062,81.6367,0.00131824
138,15,1829,344,254.906,244.847,355.727,60.456,0.00203925
139,15,1836,345,229.568,252.877,359.342,66.2736,0.00183654
140,15,1840,345,163.268,260.598,353.902,81.6367,0.00130614
141,16,575,110,134.302,543.921,295.674,4.99918,0.00107442
142,16,580,111,0.0837214,567.205,274.912,3.16583,6.69771e-07
143,16,582,111,497.625,564.016,287.804,7.81006,0.003981
144,16,583,111,10.9723,576.007,289.153,12.1304,8.77784e-05
145,16,698,130,301.317,539.609,306.12,8.22463,0.00241054
146,16,705,131,76.4551,554.587,303.264,11.6358,0.000611641
147,17,1411,279,197.782,984.188,169.733,81.6432,0.00158226
148,17,1413,279,469.354,983.73,187.5,81.6432,0.00375483
149,17,1529,299,469.354,983.086,212.5,81.6432,0.00375483
150,17,1531,299,175.712,982.643,229.68,81.6432,0.0014057
151,18,241,56,292.592,839.933,143.069,21.2895,0.00234074
152,18,248,57,348.035,857.583,139.057,23.061,0.00278428
153,18,364,76,291.58,844.198,162.5,20.7739,0.00233264
154,18,366,76,26.0808,848.277,178.347,20.4074,0.000208646
155,18,371,77,615.482,864.279,161.401,22.629,0.00492385
156,18,372,77,83.7626,878.088,169.002,23.5182,0.000670101
157,18,373,77,496.054,860.96,187.72,21.1135,0.00396843
158,18,374,77,156.47,880.803,181.345,23.1912,0.00125176
159,18,489,97,0.0265053,857.847,200.049,20.2634,2.12042e-07
160,19,384,78,44.1447,947.046,171.758,48.7975,0.000353158
161,19,385,78,24.7916,922.786,197.571,48.6758,0.000198333
162,19,386,78,236.999,936.627,186.542,49.2994,0.001896
163,19,391,79,68.4845,952.693,168.771,49.2785,0.000547876
164,19,393,79,1.10717,950.468,175.513,49.9231,8.8574e-06
165,19,501,98,175.862,916.717,207.766,49.2055,0.0014069
166,19,502,98,7.38346,926.208,201.326,49.8013,5.90677e-05
167,19,1401,278,256.869,942.875,192.18,51.1719,0.00205495
168,19,1406,279,68.4285,959.341,172.282,50.8981,0.000547428
169,19,1408,279,496.275,961.38,184.596,53.079,0.0039702
170,19,1409,279,1.57391,975.412,182.778,55.1144,1.25913e-05
171,19,1516,298,180.349,919.086,218.49,51.2022,0.00144279
172,19,1517,298,547.792,936.053,210.912,52.8572,0.00438234
173,19,1518,298,38.4221,921.976,227.756,53.066,0.000307377
174,19,1519,298,82.4231,928.879,229.776,54.5042,0.000659385
175,19,1524,299,61.6841,953.492,203.832,54.6643,0.000493473
176,20,699,130,49.9451,523.927,338.795,17.8204,0.000399561
177,20,700,130,553.94,539.801,337.51,22.2423,0.00443152
178,20,704,130,9.82666,549.668,343.66,25.0928,7.86133e-05
179,20,707,131,0.112777,550.035,329.621,24.99,9.02212e-07
180,20,711,131,235.98,554.398,337.893,26.3317,0.00188784
181,20,843,150,53.6103,523.421,358.169,17.9623,0.000428882
182,20,844,150,416.817,536.772,358.518,21.7023,0.00333454
183,20,848,150,26.7782,549.272,358.845,25.2041,0.000214226
184,20,855,151,185.626,554.965,358.994,26.7991,0.00148501
185,21,1006,176,81.4887,816.448,423.387,28.8786,0.000651909
186,21,1007,176,277.666,837.5,421.221,31.1471,0.00222133
187,21,1008,176,399.704,817.513,433.993,40.2983,0.00319763
188,21,1009,176,517.739,837.5,432.046,42.5668,0.00414191
189,21,1014,177,465.968,862.5,418.659,33.8505,0.00372774
190,21,1015,177,171.154,878.65,417.089,35.6878,0.00136923
191,21,1016,177,329.437,862.5,429.483,45.2702,0.0026355
192,21,1017,177,75.3817,879.715,427.696,47.1075,0.000603054
193,21,2030,376,65.9018,818.677,444.724,51.8705,0.000527214
194,21,2031,376,130.286,837.5,440.865,51.8705,0.00104229
195,21,2038,377,130.286,862.5,435.74,51.8705,0.00104229
196,21,2039,377,53.2987,880.114,432.129,51.8705,0.00042639
197,22,477,93,1.96121,659.152,249.55,43.1747,1.56897e-05
198,22,593,112,221.914,640.724,269.573,34.2623,0.00177532
199,22,595,112,197.265,644.206,282.182,32.538,0.00157812
200,22,600,113,494.842,661.351,262.374,41.0753,0.00395874
201,22,601,113,20.4957,676.868,272.685,42.9305,0.000163966
202,22,602,113,653.308,660.557,289.309,35.2703,0.00522647
203,22,603,113,412.731,686.121,289.809,41.7549,0.00330185
204,22,610,114,0.388318,700.257,299.681,43.3456,3.10654e-06
205,22,725,133,319.44,668.935,312.5,32.6078,0.00255552
206,22,726,133,590.394,687.47,312.959,37.2894,0.00472315
207,22,727,133,2.73225,674.318,325.845,31.2204,2.1858e-05
208,22,728,133,50.6175,678.995,327.393,32.1041,0.00040494
209,22,733,134,63.4754,702.117,305.845,42.5434,0.000507803
210,23,1708,327,13.5175,363.323,349.644,69.133,0.00010814
211,23,1712,327,2.39747,372.892,349.777,76.6575,1.91797e-05
212,23,1713,327,1.44566,376.658,349.829,79.6185,1.15652e-05
213,23,1845,347,474.757,362.967,362.5,69.133,0.00379806
214,23,1847,347,373.612,362.349,384.837,69.133,0.00298889
215,23,1849,347,145.304,372.716,362.5,76.7957,0.00116243
216,23,1850,347,94.3004,376.483,362.5,79.7567,0.000754403
217,23,1851,347,131.793,372.405,384.978,77.0408,0.00105435
218,23,1852,347,59.743,376.17,385.03,80.0018,0.000477944
219,24,1751,332,189.796,644.496,319.098,82.2187,0.00151837
220,24,1753,332,554.279,642.315,337.5,84.3002,0.00443423
221,24,1758,333,113.725,654.024,320.166,92.1212,0.000909801
222,24,1760,333,150.677,652.089,337.5,94.2027,0.00120541
223,24,1883,352,126.884,642.53,353.006,88.1336,0.00101507
224,24,1890,353,5.30722,650.434,351.885,95.8798,4.24577e-05
225,25,1443,286,123.441,310.199,247.005,57.2292,0.000987524
226,25,1566,306,353.638,318.855,260.746,57.0704,0.00282911
227,25,1567,306,161.48,329.96,267.91,58.0822,0.00129184
228,25,1568,306,20.5934,323.229,277.532,55.8469,0.000164747
229,25,1569,306,454.924,337.843,287.01,57.1724,0.00363939
230,25,1576,307,39.6012,352.456,296.489,58.4979,0.00031681
231,25,1699,326,107.53,345.948,306.158,56.2942,0.000860242
232,25,1706,327,72.8815,354.386,303.786,57.9707,0.000583052
233,26,413,84,158.082,246.23,239.703,36.6986,0.00126465
234,26,418,85,11.5191,271.62,224.245,35.9932,9.21528e-05
235,26,419,85,55.9948,282.208,223.095,36.0808,0.000447958
236,26,420,85,601.961,262.972,235.664,36.6771,0.00481569
237,26,421,85,446.385,283.903,237.5,37.1467,0.00357108
238,26,536,104,56.2662,248.193,257.712,38.0286,0.000450129
239,26,543,105,311.417,262.5,256.211,38.1509,0.00249133
240,26,544,105,154.058,285.568,253.604,38.3345,0.00123247
241,27,660,123,78.0474,196.412,321.788,31.7757,0.000624379
242,27,662,123,45.5823,198.005,328.2,29.2623,0.000364658
243,27,667,124,121.068,203.562,319.922,40.4631,0.000968545
244,27,669,124,611.893,211.707,338.772,36.6934,0.00489515
245,27,670,124,1.91395,225.585,349.498,44.2083,1.53116e-05
246,27,806,144,96.7592,218.457,352.034,35.1077,0.000774074
247,27,807,144,0.641662,225.38,350.237,43.512,5.13329e-06
248,28,653,122,30.8931,117.587,347.15,48.8328,0.000247145
249,28,790,142,26.3339,122.664,352.429,48.8328,0.000210671
250,28,791,142,109.185,134.686,364.929,48.8328,0.000873476
251,28,793,142,8.7239,145.145,375.805,48.8328,6.97912e-05
252,28,1675,322,97.5848,122.119,344.438,52.6678,0.000780679
253,28,1676,322,285.326,131.243,341.438,59.117,0.00228261
254,28,1812,342,4.04817,124.167,350.866,50.4473,3.23853e-05
255,28,1813,342,467.143,141.522,361.272,54.3933,0.00373715
256,28,1815,342,0.342027,147.062,375.175,50.1876,2.73621e-06
257,28,1820,343,113.225,153.175,363.276,59.6161,0.000905804
258,29,1912,359,2.54784,974.179,399.416,89.4279,2.03827e-05
259,29,1913,359,1.38035,975.33,399.119,90.1274,1.10428e-05
260,29,2049,379,148.387,971.639,406.89,85.3931,0.00118709
261,29,2050,379,295.596,979.568,414.301,86.7597,0.00236477
262,29,2052,379,231.051,989.966,430.895,86.0405,0.00184841
263,30,814,146,64.5038,338.917,393.999,24.7413,0.00051603
264,30,818,146,105.491,343.489,396.474,25.64,0.000843926
265,30,821,147,15.9908,352.747,386.509,24.7413,0.000127927
266,30,825,147,129.287,354.924,393.886,26.2943,0.0010343
267,30,929,165,38.778,293.337,418.68,24.7413,0.000310224
268,30,933,165,64.9976,293.854,422.472,25.4803,0.000519981
269,30,935,165,129.442,296.637,434.259,27.8932,0.00103554
270,30,936,166,72.7524,312.5,408.304,24.7413,0.000582019
271,30,937,166,8.24863,326.417,400.767,24.7413,6.5989e-05
272,30,940,166,389.83,312.5,417.364,26.3859,0.00311864
273,30,941,166,553.713,335.644,411.495,27.5954,0.00442971
274,30,942,166,288.871,312.5,430.658,28.7989,0.00231096
275,30,943,166,19.4966,327.799,426.516,29.5508,0.000155973
276,30,948,167,187.206,357.708,405.673,28.7073,0.00149765
277,31,676,127,121.552,395.356,344.189,13.1479,0.00097242
278,31,681,128,3.29114,407.747,324.403,13.033,2.63292e-05
279,31,683,128,509.291,410.961,336.63,13.4695,0.00407432
280,31,684,128,96.9103,431.088,346.223,14.4038,0.000775282
