x,y,z,P,Sw,Sg
25,25,5,61.3531,0.2,0.0574173
75,25,5,61.035,0.2,0.0574354
125,25,5,60.2252,0.2,0.0574807
175,25,5,59.1115,0.2,0.0575431
225,25,5,57.7973,0.2,0.0576167
275,25,5,56.476,0.2,0.0576912
325,25,5,55.8573,0.2,0.0577321
375,25,5,55.3364,0.2,0.0577568
425,25,5,54.7239,0.2,0.0577808
475,25,5,53.747,0.2,0.057851
525,25,5,53.7361,0.2,0.0578543
575,25,5,54.1931,0.2,0.0578254
625,25,5,55.1129,0.2,0.0577712
675,25,5,56.0121,0.2,0.0577207
725,25,5,56.8851,0.2,0.0576711
775,25,5,57.8433,0.2,0.0576162
825,25,5,58.8405,0.2,0.0575586
875,25,5,59.9329,0.2,0.0574973
925,25,5,60.7379,0.2,0.0574521
975,25,5,61.1859,0.2,0.0574268
25,75,5,61.2594,0.2,0.0574227
75,75,5,60.8005,0.2,0.0574485
125,75,5,59.9634,0.2,0.0574954
175,75,5,58.8023,0.2,0.0575602
225,75,5,57.2817,0.2,0.0576424
275,75,5,56.248,0.2,0.0577063
325,75,5,55.453,0.2,0.0577481
375,75,5,54.1784,0.2,0.0578126
425,75,5,53.1451,0.2,0.0578635
475,75,5,53.0189,0.2,0.0578915
525,75,5,53.1718,0.2,0.0578822
575,75,5,53.3887,0.2,0.057868
625,75,5,53.9343,0.2,0.0578276
675,75,5,55.0178,0.2,0.0577679
725,75,5,56.3078,0.2,0.0576984
775,75,5,57.3717,0.2,0.0576424
825,75,5,58.3111,0.2,0.0575863
875,75,5,59.6308,0.2,0.0575138
925,75,5,60.5716,0.2,0.0574616
975,75,5,61.0394,0.2,0.0574352
25,125,5,61.0118,0.2,0.0574368
75,125,5,60.3177,0.2,0.057475
125,125,5,59.4593,0.2,0.0575237
175,125,5,58.3007,0.2,0.0575882
225,125,5,56.8966,0.2,0.0576658
275,125,5,56.0078,0.2,0.0577203
325,125,5,54.3936,0.2,0.0577954
375,125,5,52.4403,0.2,0.0578668
425,125,5,51.8214,0.2,0.057937
475,125,5,52.0009,0.2,0.0579432
525,125,5,51.945,0.2,0.0579401
575,125,5,51.913,0.2,0.0579336
625,125,5,51.7937,0.2,0.0578728
675,125,5,53.7008,0.2,0.0578266
725,125,5,55.1741,0.2,0.0577537
775,125,5,56.6999,0.2,0.057676
825,125,5,58.0017,0.2,0.0576052
875,125,5,59.2044,0.2,0.057537
925,125,5,60.3142,0.2,0.0574761
975,125,5,60.8392,0.2,0.0574466
25,175,5,60.8237,0.2,0.0574477
75,175,5,59.8602,0.2,0.0574991
125,175,5,58.5983,0.2,0.0575662
175,175,5,57.4311,0.2,0.0576345
225,175,5,56.5276,0.2,0.0576914
275,175,5,55.8309,0.2,0.0577256
325,175,5,53.7048,0.2,0.0578236
375,175,5,52.0544,0.2,0.0579227
425,175,5,50.9978,0.2,0.0579801
475,175,5,51.0974,0.2,0.0579932
525,175,5,50.5927,0.2,0.057983
575,175,5,50.8683,0.2,0.0580006
625,175,5,50.7525,0.2,0.0579644
675,175,5,52.3249,0.2,0.0578978
725,175,5,53.816,0.2,0.0578105
775,175,5,55.8822,0.2,0.0577151
825,175,5,57.5924,0.2,0.057628
875,175,5,58.7595,0.2,0.0575607
925,175,5,60.0693,0.2,0.0574902
975,175,5,60.5366,0.2,0.057464
25,225,5,60.9282,0.2,0.0574418
75,225,5,60.3647,0.2,0.0574732
125,225,5,59.2591,0.2,0.0575341
175,225,5,57.6573,0.2,0.0576205
225,225,5,56.5521,0.2,0.0576891
275,225,5,55.7227,0.2,0.0577334
325,225,5,53.7923,0.2,0.0578297
375,225,5,52.129,0.2,0.0579227
425,225,5,50.8836,0.2,0.057994
475,225,5,50.7271,0.2,0.0580253
525,225,5,50.3645,0.2,0.0580393
575,225,5,50.5675,0.2,0.0580356
625,225,5,50.6441,0.2,0.0580153
675,225,5,51.6189,0.2,0.0579598
725,225,5,52.6634,0.2,0.0578564
775,225,5,55.2171,0.2,0.0577464
825,225,5,57.2761,0.2,0.0576426
875,225,5,58.8211,0.2,0.0575591
925,225,5,59.9515,0.2,0.0574971
975,225,5,60.3642,0.2,0.057474
25,275,5,61.0098,0.2,0.057437
75,275,5,60.6682,0.2,0.0574563
125,275,5,59.708,0.2,0.0575092
175,275,5,58.1998,0.2,0.0575921
225,275,5,56.6448,0.2,0.0576796
275,275,5,55.666,0.2,0.0577342
325,275,5,53.7415,0.2,0.0578322
375,275,5,52.1686,0.2,0.0579216
425,275,5,50.8863,0.2,0.0579933
475,275,5,50.5281,0.2,0.0580335
