id,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,771.666,71.4504,21.6413,828.581,89.9383,21.6413,821.42,111.984,9.54631,764.505,93.4965,9.54631
1,352.984,84.5032,13.0312,320.773,90.7997,13.0312,314.433,58.3636,13.0043,346.644,52.0671,13.0043
2,1000.49,294.163,15.3998,998.125,324.425,15.3998,983.938,323.318,9.06632,986.298,293.057,9.06632
3,47.7508,467.945,17.7091,60.2136,500.148,17.7091,45.5805,505.811,-8.39824,33.1178,473.608,-8.39824
4,493.744,431.493,17.8703,442.083,440.978,17.8703,439.782,428.447,9.34199,491.443,418.962,9.34199
5,402.241,-8.30639,16.9043,387.998,31.259,16.9043,368.592,24.2727,-7.66859,382.836,-15.2927,-7.66859
6,152.909,166.506,10.822,206.724,207.694,10.822,193.82,224.555,-3.53252,140.005,183.366,-3.53252
7,61.1925,414.114,15.3942,28.6084,451.718,15.3942,1.43406,428.171,2.59595,34.0182,390.567,2.59595
8,588.59,226.296,28.9326,579.607,297.962,28.9326,552.298,294.539,9.51424,561.281,222.873,9.51424
9,943.3,293.786,9.62372,988.059,295.987,9.62372,987.211,313.248,1.41624,942.451,311.047,1.41624
10,418.754,144.948,9.99902,387.18,169.411,9.99902,371.009,148.541,-9.43583,402.583,124.077,-9.43583
11,895.251,303.235,23.2662,964.521,324.642,23.2662,957.351,347.842,13.3322,888.081,326.435,13.3322
12,668.095,309.813,24.1763,683.821,350.624,24.1763,669.587,356.109,-0.524392,653.862,315.298,-0.524392
13,868.339,348.868,5.64724,842.034,382.635,5.64724,829.489,372.861,3.79216,855.794,339.095,3.79216
14,466.588,87.1807,20.0294,435.599,131.121,20.0294,412.085,114.539,15.8012,443.074,70.598,15.8012
15,633.986,243.55,16.0023,589.671,306.694,16.0023,574.848,296.291,-7.87987,619.163,233.147,-7.87987
16,623.452,120.71,10.28,637.15,171.73,10.28,625.256,174.923,-6.06022,611.558,123.903,-6.06022
17,350.952,32.2345,7.1319,317.236,99.6107,7.1319,297.738,89.8534,7.12002,331.454,22.4773,7.12002
18,379.4,136.467,7.06833,347.169,183.121,7.06833,325.738,168.315,-0.482092,357.968,121.661,-0.482092
19,218.224,66.4277,7.6726,274.93,78.1509,7.6726,270.027,101.863,1.07797,213.321,90.1402,1.07797
20,242.103,327.289,31.2918,267.121,355.095,31.2918,251.649,369.016,-2.80093,226.631,341.21,-2.80093
21,428.245,-12.8021,14.1361,422.256,48.6242,14.1361,393.829,45.8529,-0.333294,399.818,-15.5735,-0.333294
22,578.022,289.852,6.59453,538.52,317.961,6.59453,527.764,302.845,-3.3604,567.266,274.736,-3.3604
23,991.322,164.645,22.5771,989.522,234.54,22.5771,975.524,234.179,10.0802,977.325,164.285,10.0802
24,858.941,125.812,6.17631,888.948,184.099,6.17631,857.777,200.147,2.63333,827.77,141.86,2.63333
25,976.237,182.702,13.8184,927.821,235.838,13.8184,904.81,214.87,6.89162,953.226,161.734,6.89162
26,561.478,329.54,9.90599,559.454,368.234,9.90599,521.418,366.245,-0.763993,523.442,327.55,-0.763993
27,978.153,449.545,17.7655,1025.61,506.497,17.7655,1014.35,515.874,4.56627,966.899,458.922,4.56627
28,885.576,432.782,21.3804,812.703,447.722,21.3804,807.746,423.542,-5.20008,880.619,408.603,-5.20008
29,659.346,248.651,13.6293,707.698,308.586,13.6293,678.63,332.036,1.26206,630.279,272.101,1.26206
30,492.831,204.672,21.3275,493.575,243.461,21.3275,478.396,243.752,18.4508,477.652,204.963,18.4508
31,378.32,349.703,23.2468,377.062,395.089,23.2468,354.618,394.467,5.59077,355.875,349.082,5.59077
32,262.105,264.745,26.326,273.225,317.932,26.326,238.819,325.126,12.8297,227.699,271.939,12.8297
33,659.041,316.372,27.1859,649.731,356.824,27.1859,631.166,352.552,7.38084,640.476,312.1,7.38084
34,66.1974,488.671,24.9833,35.3239,519.99,24.9833,21.0102,505.88,-6.18555,51.8837,474.561,-6.18555
35,314.883,239.267,13.1223,360.176,304.013,13.1223,346.617,313.498,9.76937,301.324,248.752,9.76937
36,296.67,254.787,8.78373,248.133,265.634,8.78373,240.28,230.493,6.12375,288.817,219.646,6.12375
37,203.608,313.718,15.8603,226.203,349.96,15.8603,214.229,357.425,-1.51439,191.635,321.183,-1.51439
38,128.453,331.216,18.6728,159.525,363.524,18.6728,144.79,377.695,3.43995,113.718,345.387,3.43995
39,83.206,-18.8979,13.0036,95.8592,18.7461,13.0036,79.9823,24.0828,12.1122,67.3291,-13.5613,12.1122
40,886.732,-16.5267,14.1475,913.422,28.012,14.1475,886.503,44.1435,9.00706,859.813,-0.395271,9.00706
41,975.029,398.228,21.4663,999.664,432.876,21.4663,988.652,440.705,12.9499,964.018,406.057,12.9499
42,367.224,406.683,8.10246,298.404,443.949,8.10246,286.078,421.186,2.75926,354.898,383.92,2.75926
43,438.102,347.681,3.61054,415.231,376.303,3.61054,384.606,351.831,1.92358,407.476,323.209,1.92358
44,380.453,202.863,19.1323,421.63,213.556,19.1323,417.189,230.658,10.6294,376.012,219.965,10.6294
45,666.561,11.6621,20.3022,716.429,26.8104,20.3022,710.438,46.5315,16.3063,660.571,31.3832,16.3063
46,965.098,304.115,10.9805,923.525,351.259,10.9805,904.13,334.155,9.68731,945.703,287.012,9.68731
47,545.901,64.6231,5.17362,590.949,78.3514,5.17362,586.174,94.0233,-0.367031,541.125,80.295,-0.367031
48,977.453,50.26,8.56712,1009.1,110.635,8.56712,981.568,125.07,-7.88068,949.917,64.6953,-7.88068
49,612.939,16.2335,27.905,687.187,19.8061,27.905,686.609,31.8254,10.0609,612.36,28.2528,10.0609
50,533.04,276.084,28.8934,473.177,286.676,28.8934,469.04,263.294,-1.53488,528.902,252.701,-1.53488
51,664.051,389.008,20.4407,615.403,421.801,20.4407,608.756,411.941,6.64599,657.404,379.148,6.64599
52,616.479,389.747,17.2342,647.989,414.925,17.2342,635.401,430.68,8.8252,603.89,405.502,8.8252
53,65.6324,288.94,11.0322,31.7216,341.781,11.0322,12.2939,329.313,2.43001,46.2047,276.473,2.43001
54,239.302,227.842,21.9988,286.36,233.664,21.9988,282.087,268.196,5.7168,235.029,262.373,5.7168
55,997.89,261.864,10.4291,959.026,305.489,10.4291,937.271,286.108,6.50977,976.135,242.483,6.50977
56,271.895,269.75,24.6758,240.791,318.815,24.6758,228.138,310.794,10.0089,259.242,261.729,10.0089
57,231.857,159.501,11.9794,264.413,203.618,11.9794,244.615,218.227,9.3937,212.059,174.111,9.3937
58,80.5409,467.963,26.3628,55.3681,508.534,26.3628,26.4297,490.578,7.52295,51.6025,450.008,7.52295
59,474.328,16.8122,13.8974,521.517,54.0672,13.8974,511.723,66.4722,-10.2292,464.535,29.2172,-10.2292
60,745.041,35.783,32.532,822.544,49.5281,32.532,817.551,77.6816,4.70521,740.048,63.9365,4.70521
61,580,350.32,33.1948,521.15,376.477,33.1948,511.831,355.512,5.55128,570.682,329.355,5.55128
62,436.7,74.4025,10.1898,433.578,148.932,10.1898,415.483,148.174,5.67628,418.605,73.6445,5.67628
63,604.125,416.526,24.3651,592.216,456.629,24.3651,558.486,446.612,10.8493,570.395,406.509,10.8493
64,699.802,207.892,12.2216,732.974,264.086,12.2216,716.561,273.775,2.89788,683.388,217.581,2.89788
65,288.568,195.208,23.4404,231.644,230.637,23.4404,218.796,209.994,-0.581477,275.72,174.565,-0.581477
66,691.068,92.5992,11.7706,686.271,146.271,11.7706,671.011,144.907,4.23836,675.808,91.2355,4.23836
67,825.611,488.008,17.7199,780.763,498.828,17.7199,778.608,489.892,4.52025,823.455,479.072,4.52025
68,245.573,329.311,10.3285,268.624,359.911,10.3285,260.407,366.1,-7.31116,237.356,335.5,-7.31116
69,662.894,167.702,22.5645,737.408,181.399,22.5645,730.956,216.5,6.91949,656.442,202.803,6.91949
70,91.1728,138.336,6.78958,138.015,179.475,6.78958,122.339,197.324,-0.00238487,75.4973,156.185,-0.00238487
71,364.527,112.334,15.5546,373.233,142.727,15.5546,356.163,147.616,2.57503,347.458,117.223,2.57503
72,287.699,31.156,11.9529,268.27,105.692,11.9529,254.217,102.029,-8.90489,273.645,27.4929,-8.90489
73,104.512,434.512,17.1257,75.2312,459.109,17.1257,60.9844,442.15,4.93777,90.2657,417.552,4.93777
74,1008.04,167.965,16.1789,997.348,216.45,16.1789,962.534,208.774,13.8043,973.225,160.289,13.8043
75,49.9921,51.3699,11.6896,46.3555,84.9415,11.6896,23.6517,82.4822,-11.1427,27.2882,48.9106,-11.1427
76,896.718,260.588,17.1269,946.023,307.206,17.1269,929.613,324.561,11.918,880.309,277.944,11.918
77,217.279,115.822,8.85429,290.39,126.672,8.85429,285.605,158.91,-0.565182,212.495,148.06,-0.565182
78,55.451,234.596,19.1554,-4.53704,273.628,19.1554,-11.0815,263.57,-0.106992,48.9065,224.538,-0.106992
