Time,CumOil,CumWater,CumGas,AvgPressure,DT
0.001,4.04411,1.51109e-12,0.00605547,199.971,0.001
0.003,11.4112,4.68481e-12,0.0182496,199.907,0.002
0.007,25.9827,1.10622e-11,0.0409503,199.781,0.004
0.015,54.7231,2.38892e-11,0.0811006,199.531,0.008
0.031,110.693,4.97836e-11,0.146809,199.047,0.016
0.063,217.233,1.02239e-10,0.243951,198.129,0.032
0.127,412.665,2.08252e-10,0.379226,196.454,0.064
0.255,752.857,4.1853e-10,0.593136,193.558,0.128
0.511,1308.61,8.17352e-10,1.0431,188.859,0.256
1.023,2156.94,1.52189e-09,2.08228,181.73,0.512
2.047,3369.97,2.66371e-09,4.20927,171.584,1.024
4.095,5017.74,4.37235e-09,7.98923,157.835,2.048
8.191,7179.79,6.77913e-09,14.1055,139.844,4.096
16.383,9895.93,9.96517e-09,23.2956,117.403,8.192
26.383,12114.2,1.26471e-08,31.7696,99.3189,10
36.383,13695,1.45928e-08,38.3184,86.6037,10
46.383,14854.7,1.60376e-08,43.4101,77.3768,10
56.383,15717.8,1.71218e-08,47.3639,70.5688,10
66.383,16364.8,1.79396e-08,50.4232,65.4983,10
76.383,16851.6,1.85578e-08,52.78,61.694,10
86.383,17218.8,1.90257e-08,54.5896,58.8365,10
96.383,17496.2,1.93801e-08,55.9753,56.6844,10
100,17586.1,1.9495e-08,56.4261,55.989,3.617
