id,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,771.666,71.4504,45.0321,828.581,89.9383,45.0321,821.42,111.984,32.937,764.505,93.4965,32.937
1,352.984,84.5032,32.5579,320.773,90.7997,32.5579,314.433,58.3636,32.5309,346.644,52.0671,32.5309
2,1000.49,294.163,33.7494,998.125,324.425,33.7494,983.938,323.318,27.4159,986.298,293.057,27.4159
3,47.7508,467.945,24.6922,60.2136,500.148,24.6922,45.5805,505.811,-1.4151,33.1178,473.608,-1.4151
4,493.744,431.493,38.2795,442.083,440.978,38.2795,439.782,428.447,29.7512,491.443,418.962,29.7512
5,402.241,-8.30639,23.8312,387.998,31.259,23.8312,368.592,24.2727,-0.741775,382.836,-15.2927,-0.741775
6,152.909,166.506,16.289,206.724,207.694,16.289,193.82,224.555,1.93456,140.005,183.366,1.93456
7,61.1925,414.114,28.8868,28.6084,451.718,28.8868,1.43406,428.171,16.0886,34.0182,390.567,16.0886
8,588.59,226.296,57.7678,579.607,297.962,57.7678,552.298,294.539,38.3494,561.281,222.873,38.3494
9,943.3,293.786,17.9037,988.059,295.987,17.9037,987.211,313.248,9.69622,942.451,311.047,9.69622
10,418.754,144.948,10.4214,387.18,169.411,10.4214,371.009,148.541,-9.01343,402.583,124.077,-9.01343
11,895.251,303.235,50.715,964.521,324.642,50.715,957.351,347.842,40.781,888.081,326.435,40.781
12,668.095,309.813,41.9152,683.821,350.624,41.9152,669.587,356.109,17.2145,653.862,315.298,17.2145
13,868.339,348.868,12.7268,842.034,382.635,12.7268,829.489,372.861,10.8717,855.794,339.095,10.8717
14,466.588,87.1807,46.9023,435.599,131.121,46.9023,412.085,114.539,42.6741,443.074,70.598,42.6741
15,633.986,243.55,22.0942,589.671,306.694,22.0942,574.848,296.291,-1.78803,619.163,233.147,-1.78803
16,623.452,120.71,13.4448,637.15,171.73,13.4448,625.256,174.923,-2.89539,611.558,123.903,-2.89539
17,350.952,32.2345,17.8208,317.236,99.6107,17.8208,297.738,89.8534,17.809,331.454,22.4773,17.809
18,379.4,136.467,12.008,347.169,183.121,12.008,325.738,168.315,4.45758,357.968,121.661,4.45758
19,218.224,66.4277,14.2355,274.93,78.1509,14.2355,270.027,101.863,7.64089,213.321,90.1402,7.64089
20,242.103,327.289,52.6599,267.121,355.095,52.6599,251.649,369.016,18.5672,226.631,341.21,18.5672
21,428.245,-12.8021,24.4883,422.256,48.6242,24.4883,393.829,45.8529,10.0188,399.818,-15.5735,10.0188
22,578.022,289.852,9.02013,538.52,317.961,9.02013,527.764,302.845,-0.934796,567.266,274.736,-0.934796
23,991.322,164.645,47.0701,989.522,234.54,47.0701,975.524,234.179,34.5731,977.325,164.285,34.5731
24,858.941,125.812,12.7835,888.948,184.099,12.7835,857.777,200.147,9.24056,827.77,141.86,9.24056
25,976.237,182.702,29.351,927.821,235.838,29.351,904.81,214.87,22.4242,953.226,161.734,22.4242
26,561.478,329.54,16.7625,559.454,368.234,16.7625,521.418,366.245,6.09251,523.442,327.55,6.09251
27,978.153,449.545,34.5143,1025.61,506.497,34.5143,1014.35,515.874,21.3151,966.899,458.922,21.3151
28,885.576,432.782,33.5157,812.703,447.722,33.5157,807.746,423.542,6.93516,880.619,408.603,6.93516
29,659.346,248.651,24.7977,707.698,308.586,24.7977,678.63,332.036,12.4305,630.279,272.101,12.4305
30,492.831,204.672,51.1612,493.575,243.461,51.1612,478.396,243.752,48.2845,477.652,204.963,48.2845
31,378.32,349.703,44.875,377.062,395.089,44.875,354.618,394.467,27.219,355.875,349.082,27.219
32,262.105,264.745,55.6928,273.225,317.932,55.6928,238.819,325.126,42.1965,227.699,271.939,42.1965
33,659.041,316.372,53.1109,649.731,356.824,53.1109,631.166,352.552,33.3059,640.476,312.1,33.3059
34,66.1974,488.671,39.0817,35.3239,519.99,39.0817,21.0102,505.88,7.91278,51.8837,474.561,7.91278
35,314.883,239.267,30.2911,360.176,304.013,30.2911,346.617,313.498,26.9381,301.324,248.752,26.9381
36,296.67,254.787,19.9643,248.133,265.634,19.9643,240.28,230.493,17.3044,288.817,219.646,17.3044
37,203.608,313.718,26.6197,226.203,349.96,26.6197,214.229,357.425,9.24502,191.635,321.183,9.24502
38,128.453,331.216,35.2574,159.525,363.524,35.2574,144.79,377.695,20.0246,113.718,345.387,20.0246
39,83.206,-18.8979,31.8404,95.8592,18.7461,31.8404,79.9823,24.0828,30.9491,67.3291,-13.5613,30.9491
40,886.732,-16.5267,31.5135,913.422,28.012,31.5135,886.503,44.1435,26.373,859.813,-0.395271,26.373
41,975.029,398.228,47.2784,999.664,432.876,47.2784,988.652,440.705,38.762,964.018,406.057,38.762
42,367.224,406.683,16.2487,298.404,443.949,16.2487,286.078,421.186,10.9055,354.898,383.92,10.9055
43,438.102,347.681,7.76113,415.231,376.303,7.76113,384.606,351.831,6.07417,407.476,323.209,6.07417
44,380.453,202.863,41.4536,421.63,213.556,41.4536,417.189,230.658,32.9506,376.012,219.965,32.9506
45,666.561,11.6621,47.7586,716.429,26.8104,47.7586,710.438,46.5315,43.7627,660.571,31.3832,43.7627
46,965.098,304.115,26.4814,923.525,351.259,26.4814,904.13,334.155,25.1882,945.703,287.012,25.1882
47,545.901,64.6231,8.77856,590.949,78.3514,8.77856,586.174,94.0233,3.23791,541.125,80.295,3.23791
48,977.453,50.26,9.08195,1009.1,110.635,9.08195,981.568,125.07,-7.36584,949.917,64.6953,-7.36584
49,612.939,16.2335,56.3793,687.187,19.8061,56.3793,686.609,31.8254,38.5352,612.36,28.2528,38.5352
50,533.04,276.084,49.4123,473.177,286.676,49.4123,469.04,263.294,18.984,528.902,252.701,18.984
51,664.051,389.008,40.7558,615.403,421.801,40.7558,608.756,411.941,26.961,657.404,379.148,26.961
52,616.479,389.747,36.7787,647.989,414.925,36.7787,635.401,430.68,28.3697,603.89,405.502,28.3697
53,65.6324,288.94,21.1288,31.7216,341.781,21.1288,12.2939,329.313,12.5266,46.2047,276.473,12.5266
54,239.302,227.842,42.7855,286.36,233.664,42.7855,282.087,268.196,26.5035,235.029,262.373,26.5035
55,997.89,261.864,23.1332,959.026,305.489,23.1332,937.271,286.108,19.2139,976.135,242.483,19.2139
56,271.895,269.75,50.6893,240.791,318.815,50.6893,228.138,310.794,36.0224,259.242,261.729,36.0224
57,231.857,159.501,28.0092,264.413,203.618,28.0092,244.615,218.227,25.4235,212.059,174.111,25.4235
58,80.5409,467.963,51.7771,55.3681,508.534,51.7771,26.4297,490.578,32.9372,51.6025,450.008,32.9372
59,474.328,16.8122,16.6485,521.517,54.0672,16.6485,511.723,66.4722,-7.47811,464.535,29.2172,-7.47811
60,745.041,35.783,60.4598,822.544,49.5281,60.4598,817.551,77.6816,32.6331,740.048,63.9365,32.6331
61,580,350.32,62.2544,521.15,376.477,62.2544,511.831,355.512,34.6108,570.682,329.355,34.6108
62,436.7,74.4025,22.0893,433.578,148.932,22.0893,415.483,148.174,17.5758,418.605,73.6445,17.5758
