x,y,z,P,Sw,Sg
25,25,5,81.2064,0.2,0.0562954
75,25,5,80.3916,0.2,0.0563409
125,25,5,78.7629,0.2,0.0564315
175,25,5,76.4008,0.2,0.056563
225,25,5,73.4276,0.2,0.0567285
275,25,5,70.1944,0.2,0.0569093
325,25,5,67.9417,0.2,0.0570406
375,25,5,66.1387,0.2,0.05713
425,25,5,63.2214,0.2,0.0573041
475,25,5,60.4202,0.2,0.0574667
525,25,5,59.7855,0.2,0.0575087
575,25,5,59.6991,0.2,0.0575128
625,25,5,60.2555,0.2,0.0574782
675,25,5,61.6123,0.2,0.0573993
725,25,5,63.3967,0.2,0.0572976
775,25,5,65.3345,0.2,0.0571882
825,25,5,67.2312,0.2,0.0570816
875,25,5,68.9057,0.2,0.0569879
925,25,5,70.1343,0.2,0.0569191
975,25,5,70.7821,0.2,0.0568827
25,75,5,81.0734,0.2,0.0563029
75,75,5,80.1563,0.2,0.056354
125,75,5,78.4643,0.2,0.0564482
175,75,5,76.0056,0.2,0.0565848
225,75,5,72.6799,0.2,0.0567687
275,75,5,69.7586,0.2,0.0569349
325,75,5,66.6928,0.2,0.0571053
375,75,5,63.37,0.2,0.0572839
425,75,5,60.6705,0.2,0.0574411
475,75,5,59.2197,0.2,0.0575366
525,75,5,58.7883,0.2,0.0575596
575,75,5,58.6035,0.2,0.0575707
625,75,5,58.7854,0.2,0.0575533
675,75,5,60.5296,0.2,0.0574557
725,75,5,62.6514,0.2,0.0573373
775,75,5,64.8297,0.2,0.0572155
825,75,5,66.892,0.2,0.0571002
875,75,5,68.6697,0.2,0.057001
925,75,5,69.9681,0.2,0.0569285
975,75,5,70.6322,0.2,0.0568912
25,125,5,80.7966,0.2,0.0563184
75,125,5,79.5921,0.2,0.0563853
125,125,5,77.8335,0.2,0.0564833
175,125,5,75.4086,0.2,0.0566183
225,125,5,72.1618,0.2,0.0567982
275,125,5,69.208,0.2,0.0569633
325,125,5,64.393,0.2,0.0572141
375,125,5,59.311,0.2,0.0574707
425,125,5,56.868,0.2,0.057633
475,125,5,56.6185,0.2,0.0576731
525,125,5,55.9699,0.2,0.0577053
575,125,5,55.8768,0.2,0.0577114
625,125,5,55.0439,0.2,0.0576875
675,125,5,58.5583,0.2,0.0575522
725,125,5,61.3448,0.2,0.0574049
775,125,5,63.9831,0.2,0.0572606
825,125,5,66.3812,0.2,0.0571282
875,125,5,68.2878,0.2,0.0570223
925,125,5,69.6953,0.2,0.0569439
975,125,5,70.4313,0.2,0.0569026
25,175,5,80.5666,0.2,0.0563313
75,175,5,78.7991,0.2,0.056428
125,175,5,76.5205,0.2,0.0565539
175,175,5,74.4305,0.2,0.0566737
225,175,5,72.1072,0.2,0.0568048
275,175,5,68.8019,0.2,0.0569837
325,175,5,62.587,0.2,0.057294
375,175,5,57.5721,0.2,0.0575824
425,175,5,53.8654,0.2,0.0577838
475,175,5,54.0119,0.2,0.0578166
525,175,5,52.3299,0.2,0.05786
575,175,5,53.368,0.2,0.0578518
625,175,5,52.6711,0.2,0.0578188
675,175,5,56.652,0.2,0.0576509
725,175,5,59.8411,0.2,0.0574821
775,175,5,62.9798,0.2,0.0573134
825,175,5,65.7855,0.2,0.0571602
875,175,5,67.8464,0.2,0.0570469
925,175,5,69.3694,0.2,0.0569623
975,175,5,70.1273,0.2,0.0569198
25,225,5,80.7871,0.2,0.056319
75,225,5,79.7085,0.2,0.0563789
125,225,5,77.6923,0.2,0.0564907
175,225,5,74.6519,0.2,0.0566582
225,225,5,72.3223,0.2,0.0567925
275,225,5,68.917,0.2,0.0569791
325,225,5,63.6822,0.2,0.0572569
375,225,5,58.4935,0.2,0.0575422
425,225,5,53.5321,0.2,0.0578084
475,225,5,53.0198,0.2,0.0578926
525,225,5,51.6912,0.2,0.057957
575,225,5,52.3914,0.2,0.0579283
625,225,5,52.3732,0.2,0.0578872
675,225,5,55.4842,0.2,0.0577242
725,225,5,58.5078,0.2,0.057551
775,225,5,62.0686,0.2,0.0573621
825,225,5,65.1463,0.2,0.0571957
875,225,5,67.4865,0.2,0.0570671
925,225,5,69.0845,0.2,0.0569785
975,225,5,69.8657,0.2,0.0569347
25,275,5,81.0388,0.2,0.0563048
75,275,5,80.2146,0.2,0.0563508
125,275,5,78.4313,0.2,0.0564498
175,275,5,75.7253,0.2,0.0565998
225,275,5,72.685,0.2,0.0567697
275,275,5,69.1133,0.2,0.0569672
325,275,5,64.0495,0.2,0.057238
375,275,5,58.8769,0.2,0.0575208
425,275,5,53.5543,0.2,0.0577992
475,275,5,52.8117,0.2,0.0579064
525,275,5,51.5643,0.2,0.0579706
575,275,5,51.9428,0.2,0.0579516
625,275,5,52.2609,0.2,0.0579026
675,275,5,54.9527,0.2,0.0577581
725,275,5,57.868,0.2,0.0575858
775,275,5,61.5994,0.2,0.0573881
825,275,5,64.8013,0.2,0.057215
875,275,5,67.2261,0.2,0.0570818
925,275,5,68.8564,0.2,0.0569914
975,275,5,69.6344,0.2,0.0569478
25,325,5,81.2719,0.2,0.0562918
75,325,5,80.5742,0.2,0.0563307
125,325,5,78.9774,0.2,0.0564192
175,325,5,76.0988,0.2,0.0565781
225,325,5,72.8153,0.2,0.0567611
275,325,5,69.7653,0.2,0.0569282
325,325,5,64.7906,0.2,0.0571978
375,325,5,59.5131,0.2,0.0574813
425,325,5,53.9361,0.2,0.0577472
475,325,5,53.3779,0.2,0.0578666
525,325,5,51.825,0.2,0.0579237
575,325,5,52.5486,0.2,0.0579089
625,325,5,52.6791,0.2,0.0578549
675,325,5,55.2944,0.2,0.0577292
725,325,5,58.4125,0.2,0.0575601
775,325,5,61.823,0.2,0.0573775
825,325,5,64.8154,0.2,0.0572151
875,325,5,67.1083,0.2,0.0570886
925,325,5,68.7179,0.2,0.0569993
975,325,5,69.4916,0.2,0.056956
25,375,5,81.4168,0.2,0.0562836
75,375,5,80.8079,0.2,0.0563177
125,375,5,79.7361,0.2,0.0563765
175,375,5,76.8503,0.2,0.0565362
225,375,5,73.5694,0.2,0.056719
275,375,5,70.4139,0.2,0.0568924
325,375,5,65.7285,0.2,0.0571496
375,375,5,60.9382,0.2,0.0574113
425,375,5,56.6821,0.2,0.0576505
475,375,5,54.8657,0.2,0.0577848
525,375,5,53.7615,0.2,0.0578422
575,375,5,54.0745,0.2,0.0578255
625,375,5,54.8182,0.2,0.0577743
675,375,5,56.6567,0.2,0.0576645
725,375,5,59.3606,0.2,0.0575134
775,375,5,62.3846,0.2,0.057349
825,375,5,65.0506,0.2,0.0572034
875,375,5,67.0456,0.2,0.0570923
925,375,5,68.6097,0.2,0.0570054
975,375,5,69.4092,0.2,0.0569606
25,425,5,81.1878,0.2,0.0562965
75,425,5,80.8513,0.2,0.0563153
125,425,5,79.5661,0.2,0.0563869
175,425,5,77.1601,0.2,0.0565201
225,425,5,74.0542,0.2,0.0566927
275,425,5,70.5087,0.2,0.0568901
325,425,5,66.4763,0.2,0.0571136
375,425,5,62.352,0.2,0.0573431
425,425,5,58.1947,0.2,0.0575685
475,425,5,55.4274,0.2,0.0577281
525,425,5,55.1777,0.2,0.0577654
575,425,5,55.4117,0.2,0.0577538
625,425,5,56.1953,0.2,0.0577041
675,425,5,57.8833,0.2,0.0576036
725,425,5,60.2763,0.2,0.0574669
775,425,5,63.0031,0.2,0.057317
825,425,5,65.3369,0.2,0.057189
875,425,5,66.8425,0.2,0.0571032
925,425,5,68.5331,0.2,0.0570097
975,425,5,69.3643,0.2,0.0569632
25,475,5,81.1357,0.2,0.0562994
75,475,5,80.8549,0.2,0.0563152
125,475,5,79.5568,0.2,0.0563874
175,475,5,77.3002,0.2,0.0565126
225,475,5,74.3105,0.2,0.0566788
275,475,5,70.814,0.2,0.0568735
325,475,5,66.9954,0.2,0.0570866
375,475,5,63.1775,0.2,0.0573014
425,475,5,59.7251,0.2,0.0574985
475,475,5,57.2928,0.2,0.0576438
525,475,5,56.3244,0.2,0.0577061
575,475,5,56.2849,0.2,0.0577071
625,475,5,57.0469,0.2,0.0576592
675,475,5,58.6651,0.2,0.0575629
725,475,5,60.9348,0.2,0.0574328
775,475,5,63.4835,0.2,0.0572918
825,475,5,65.5763,0.2,0.0571754
875,475,5,67.2294,0.2,0.0570824
925,475,5,68.6282,0.2,0.0570044
975,475,5,69.3839,0.2,0.0569621
25,25,15,81.1961,0.2,0.056296
75,25,15,80.4312,0.2,0.0563387
125,25,15,78.8147,0.2,0.0564286
175,25,15,76.4699,0.2,0.0565591
225,25,15,73.5324,0.2,0.0567226
275,25,15,70.372,0.2,0.0568996
325,25,15,68.0293,0.2,0.0570352
375,25,15,66.2521,0.2,0.0571198
425,25,15,64.0186,0.2,0.0572197
475,25,15,60.6459,0.2,0.0574504
525,25,15,59.8181,0.2,0.0575066
575,25,15,59.7366,0.2,0.0575104
625,25,15,60.3665,0.2,0.0574719
675,25,15,61.6934,0.2,0.0573949
725,25,15,63.4225,0.2,0.0572964
775,25,15,65.3106,0.2,0.0571896
825,25,15,67.1832,0.2,0.0570842
875,25,15,68.8794,0.2,0.0569893
925,25,15,70.1148,0.2,0.0569202
975,25,15,70.7727,0.2,0.0568833
25,75,15,81.1045,0.2,0.0563011
75,75,15,80.2207,0.2,0.0563504
125,75,15,78.5466,0.2,0.0564436
175,75,15,76.1045,0.2,0.0565793
225,75,15,72.765,0.2,0.0567634
275,75,15,69.9179,0.2,0.056926
325,75,15,66.9993,0.2,0.0570821
375,75,15,63.4604,0.2,0.0572771
425,75,15,60.5278,0.2,0.0574395
475,75,15,59.2424,0.2,0.0575349
525,75,15,58.6554,0.2,0.0575686
575,75,15,58.5013,0.2,0.0575777
625,75,15,58.9344,0.2,0.0575461
675,75,15,60.5694,0.2,0.0574535
725,75,15,62.6536,0.2,0.0573375
775,75,15,64.7782,0.2,0.0572185
825,75,15,66.807,0.2,0.0571049
875,75,15,68.6242,0.2,0.0570035
925,75,15,69.9485,0.2,0.0569296
975,75,15,70.633,0.2,0.0568912
25,125,15,80.8753,0.2,0.056314
75,125,15,79.7355,0.2,0.0563773
125,125,15,78.0231,0.2,0.0564727
175,125,15,75.5684,0.2,0.0566092
225,125,15,72.3245,0.2,0.0567887
275,125,15,69.4287,0.2,0.0569513
325,125,15,64.8593,0.2,0.0571918
375,125,15,59.5548,0.2,0.0574569
425,125,15,57.1066,0.2,0.0576261
475,125,15,56.6879,0.2,0.0576698
525,125,15,55.9901,0.2,0.0577058
575,125,15,55.9976,0.2,0.0577071
625,125,15,55.7383,0.2,0.0576764
675,125,15,58.6884,0.2,0.0575464
725,125,15,61.3029,0.2,0.0574072
775,125,15,63.9199,0.2,0.0572641
825,125,15,66.3153,0.2,0.0571317
875,125,15,68.2215,0.2,0.0570259
925,125,15,69.6733,0.2,0.0569451
975,125,15,70.4028,0.2,0.0569042
25,175,15,80.7119,0.2,0.0563232
75,175,15,79.4355,0.2,0.0563938
125,175,15,77.1933,0.2,0.0565171
175,175,15,74.6425,0.2,0.0566596
225,175,15,72.1765,0.2,0.0568003
275,175,15,69.342,0.2,0.0569482
325,175,15,63.6548,0.2,0.0572495
375,175,15,58.3817,0.2,0.0575419
425,175,15,53.9787,0.2,0.0577643
475,175,15,54.0414,0.2,0.0578143
525,175,15,52.3361,0.2,0.0578585
575,175,15,53.398,0.2,0.0578483
625,175,15,52.8009,0.2,0.0578072
675,175,15,56.5673,0.2,0.0576547
725,175,15,59.6361,0.2,0.0574908
775,175,15,62.8693,0.2,0.0573191
825,175,15,65.6916,0.2,0.0571658
875,175,15,67.7823,0.2,0.0570503
925,175,15,69.3521,0.2,0.0569633
975,175,15,70.0947,0.2,0.0569217
25,225,15,80.8223,0.2,0.056317
75,225,15,79.8734,0.2,0.0563698
125,225,15,77.9274,0.2,0.0564777
175,225,15,75.0815,0.2,0.056635
225,225,15,72.409,0.2,0.0567865
275,225,15,69.3741,0.2,0.056941
325,225,15,63.7769,0.2,0.0572478
375,225,15,58.5054,0.2,0.0575405
425,225,15,53.5293,0.2,0.057808
475,225,15,52.9908,0.2,0.0578937
525,225,15,51.6911,0.2,0.0579567
575,225,15,52.4311,0.2,0.0579261
625,225,15,52.3839,0.2,0.0578943
675,225,15,55.1768,0.2,0.057743
725,225,15,57.8791,0.2,0.0575717
775,225,15,61.892,0.2,0.0573704
825,225,15,65.0822,0.2,0.057199
875,225,15,67.4657,0.2,0.0570682
925,225,15,69.0855,0.2,0.0569784
975,225,15,69.8512,0.2,0.0569355
25,275,15,80.9892,0.2,0.0563076
75,275,15,80.2797,0.2,0.0563472
125,275,15,78.5211,0.2,0.0564447
175,275,15,75.8146,0.2,0.0565949
225,275,15,72.7027,0.2,0.0567685
275,275,15,69.2832,0.2,0.0569523
325,275,15,63.7611,0.2,0.0572482
375,275,15,58.7186,0.2,0.0575308
425,275,15,53.5235,0.2,0.0578037
475,275,15,52.6651,0.2,0.057913
525,275,15,51.5518,0.2,0.0579715
575,275,15,52.0474,0.2,0.057949
625,275,15,52.1993,0.2,0.057916
675,275,15,54.4345,0.2,0.0577893
725,275,15,56.9415,0.2,0.057613
775,275,15,61.3482,0.2,0.0573993
825,275,15,64.7324,0.2,0.0572185
875,275,15,67.2127,0.2,0.0570825
925,275,15,68.8621,0.2,0.0569911
975,275,15,69.5986,0.2,0.0569499
25,325,15,81.197,0.2,0.0562959
75,325,15,80.6031,0.2,0.0563291
125,325,15,79.0425,0.2,0.0564156
175,325,15,75.9382,0.2,0.056586
225,325,15,72.6543,0.2,0.0567701
275,325,15,69.5965,0.2,0.05694
325,325,15,64.6413,0.2,0.0572059
375,325,15,59.5046,0.2,0.0574834
425,325,15,54.0037,0.2,0.0577436
475,325,15,53.3605,0.2,0.0578671
525,325,15,51.8558,0.2,0.0579259
575,325,15,52.4826,0.2,0.0579143
625,325,15,52.5887,0.2,0.0578748
675,325,15,54.6003,0.2,0.0577508
725,325,15,57.9991,0.2,0.0575765
775,325,15,61.6657,0.2,0.0573848
825,325,15,64.7703,0.2,0.0572174
875,325,15,67.087,0.2,0.0570897
925,325,15,68.739,0.2,0.0569981
975,325,15,69.4712,0.2,0.0569571
25,375,15,81.4189,0.2,0.0562835
75,375,15,80.8179,0.2,0.0563171
125,375,15,79.7654,0.2,0.056375
175,375,15,76.8472,0.2,0.0565362
225,375,15,73.3631,0.2,0.0567296
275,375,15,70.1995,0.2,0.0569076
325,375,15,65.6428,0.2,0.0571549
375,375,15,60.9712,0.2,0.0574014
425,375,15,56.9081,0.2,0.05764
475,375,15,54.8843,0.2,0.0577811
525,375,15,53.7364,0.2,0.0578443
575,375,15,53.9161,0.2,0.0578339
625,375,15,54.6099,0.2,0.0577879
675,375,15,56.2587,0.2,0.0576811
725,375,15,59.0958,0.2,0.0575249
775,375,15,62.3068,0.2,0.0573523
825,375,15,65.0583,0.2,0.0572023
875,375,15,67.0026,0.2,0.0570946
925,375,15,68.6068,0.2,0.0570056
975,375,15,69.4056,0.2,0.0569609
25,425,15,81.184,0.2,0.0562967
75,425,15,80.8622,0.2,0.0563147
125,425,15,79.5807,0.2,0.056386
175,425,15,77.1667,0.2,0.0565197
225,425,15,74.0169,0.2,0.0566946
275,425,15,70.3572,0.2,0.0568979
325,425,15,66.3915,0.2,0.0571186
375,425,15,62.4384,0.2,0.0573345
425,425,15,58.5874,0.2,0.0575536
475,425,15,55.6253,0.2,0.0577155
525,425,15,55.1605,0.2,0.0577661
575,425,15,55.2966,0.2,0.0577605
625,425,15,55.9475,0.2,0.057716
675,425,15,57.6544,0.2,0.0576147
725,425,15,60.0815,0.2,0.0574749
775,425,15,63.0077,0.2,0.0573163
825,425,15,65.3585,0.2,0.0571879
